title,region,calories,fat,carbs,protein,summary
French Lentil and Hominy Chili,french,577,21,74,23,"The recipe French Lentil and Hominy Chili is ready <b>in approximately 1 hour</b> and is definitely a great <b>vegetarian</b> option for lovers of Mediterranean food. For <b>$2.45 per serving</b>, you get a main course that serves 4. One serving contains <b>570 calories</b>, <b>23g of protein</b>, and <b>21g of fat</b>. Several people made this recipe, and 1183 would say it hit the spot. It is perfect for <b>The Super Bowl</b>. Head to the store and pick up brown ale, cumin, lime wedges, and a few other things to make it today. To use up the ale you could follow this main course with the <a href=""https://spoonacular.com/recipes/chewy-brown-sugar-brown-ale-cookies-573049"">Chewy Brown Sugar & Brown Ale Cookies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/chicken-chili-with-hominy-697075"">Chicken Chili with Hominy</a>, <a href=""https://spoonacular.com/recipes/hominy-chili-with-beans-144927"">Hominy Chili with Beans</a>, and <a href=""https://spoonacular.com/recipes/turkey-chili-with-hominy-774292"">Turkey Chili with Hominy</a> for similar recipes."
French in a Flash: Crunchy Broiled Salmon with Beets,french,396,16,25,38,"French in a Flash: Crunchy Broiled Salmon with Beets is a <b>dairy free and pescatarian</b> main course. One portion of this dish contains around <b>36g of protein</b>, <b>15g of fat</b>, and a total of <b>334 calories</b>. This recipe serves 4 and costs $4.3 per serving. If you have olive oil, beets, panko, and a few other ingredients on hand, you can make it. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. 45 people have made this recipe and would make it again. This recipe is typical of Mediterranean cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/french-in-a-flash-salmon-with-sorrel-and-asparagus-en-papillote-19151"">French in a Flash: Salmon with Sorrel and Asparagus en Papillote</a>, <a href=""https://spoonacular.com/recipes/french-in-a-flash-salmon-en-crote-with-rosemary-and-asparagus-207103"">French in a Flash: Salmon en Croûte with Rosemary and Asparagus</a>, and <a href=""https://spoonacular.com/recipes/french-in-a-flash-salmon-with-summer-tomatoes-and-rosemary-en-papillote-87028"">French in a Flash: Salmon with Summer Tomatoes and Rosemary en Papillote</a> for similar recipes."
Roasted Ratatouille Pasta,french,667,28,82,26,"Roasted Ratatouille Pasta might be just the main course you are searching for. For <b>$3.51 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. This recipe makes 3 servings with <b>667 calories</b>, <b>26g of protein</b>, and <b>28g of fat</b> each. Head to the store and pick up tomato paste, onion, basil, and a few other things to make it today. Several people made this recipe, and 24989 would say it hit the spot. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/roasted-ratatouille-pasta-210812"">Roasted ratatouille pasta</a>, <a href=""https://spoonacular.com/recipes/ratatouille-pasta-760844"">Ratatouille Pasta</a>, and <a href=""https://spoonacular.com/recipes/ratatouille-pasta-657933"">Ratatouille Pasta</a> for similar recipes."
Spicy Roasted Ratatouille with Spaghetti,french,493,24,53,20,"Spicy Roasted Ratatouille with Spaghetti might be just the main course you are searching for. One serving contains <b>470 calories</b>, <b>20g of protein</b>, and <b>23g of fat</b>. For <b>$3.94 per serving</b>, this recipe <b>covers 26%</b> of your daily requirements of vitamins and minerals. Several people made this recipe, and 390 would say it hit the spot. A mixture of balsamic vinegar, oregano, eggplant, and a handful of other ingredients are all it takes to make this recipe so flavorful. From preparation to the plate, this recipe takes about <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/spicy-roasted-tomato-marinara-with-spaghetti-squash-302473"">Spicy Roasted Tomato Marinara with Spaghetti Squash</a>, <a href=""https://spoonacular.com/recipes/spaghetti-with-spicy-roasted-grape-tomatoes-shallots-and-garlic-865731"">Spaghetti with Spicy Roasted Grape Tomatoes, Shallots, and Garlic</a>, and <a href=""https://spoonacular.com/recipes/spicy-ratatouille-with-ravioli-679649"">Spicy Ratatouille with Ravioli</a> for similar recipes."
French Country Beef Stew,french,291,8,12,31,"The recipe French Country Beef Stew could satisfy your Mediterranean craving in roughly <b>7 hours and 30 minutes</b>. For <b>$2.47 per serving</b>, this recipe <b>covers 21%</b> of your daily requirements of vitamins and minerals. This recipe makes 8 servings with <b>269 calories</b>, <b>30g of protein</b>, and <b>8g of fat</b> each. It can be enjoyed any time, but it is especially good for <b>Autumn</b>. Many people made this recipe, and 802 would say it hit the spot. If you have pepper, turkey bacon, onion, and a few other ingredients on hand, you can make it. To use up the pepper you could follow this main course with the <a href=""https://spoonacular.com/recipes/dr-pepper-cake-with-flour-cooked-frosting-539165"">Dr. Pepper Cake with Flour Cooked Frosting</a> as a dessert. It works well as a reasonably priced main course. It is a good option if you're following a <b>caveman, gluten free, dairy free, and primal</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/slow-cooker-country-french-beef-stew-163312"">Slow-Cooker Country French Beef Stew</a>, <a href=""https://spoonacular.com/recipes/french-country-fish-mussel-stew-219602"">French country fish & mussel stew</a>, and <a href=""https://spoonacular.com/recipes/country-beef-stew-94781"">Country Beef Stew</a> for similar recipes."
Boozy Slow-Cooker French Dips,french,655,13,67,62,"You can never have too many main course recipes, so give Boozy Slow-Cooker French Dips a try. This recipe serves 4 and costs $6.77 per serving. Watching your figure? This dairy free recipe has <b>653 calories</b>, <b>62g of protein</b>, and <b>13g of fat</b> per serving. Several people made this recipe, and 360 would say it hit the spot. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. If you have onion, dijon mustard, beer, and a few other ingredients on hand, you can make it. To use up the dark beer you could follow this main course with the <a href=""https://spoonacular.com/recipes/nutty-beer-ice-cream-171491"">Nutty Beer Ice Cream</a> as a dessert. This recipe is typical of Mediterranean cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/boozy-slow-cooker-peppermint-hot-chocolate-701561"">Boozy Slow Cooker Peppermint Hot Chocolate</a>, <a href=""https://spoonacular.com/recipes/french-dips-with-au-jus-643330"">French Dips With Au Jus</a>, and <a href=""https://spoonacular.com/recipes/spicy-crock-pot-french-dips-520532"">Spicy Crock Pot French Dips</a> for similar recipes."
Raw or cooked ratatouille,french,303,8,43,15,"You can never have too many main course recipes, so give Raw or cooked ratatouille a try. This recipe makes 4 servings with <b>276 calories</b>, <b>15g of protein</b>, and <b>8g of fat</b> each. For <b>$1.22 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 16 foodies and cooks. It is a good option if you're following a <b>gluten free and vegan</b> diet. From preparation to the plate, this recipe takes about <b>45 minutes</b>. A mixture of lemon juice, sea salt, parsley, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the lemon juice you could follow this main course with the <a href=""https://spoonacular.com/recipes/lemon-shortbread-cookies-with-lemon-icing-a-tribute-to-aunt-roxanne-487814"">Lemon Shortbread Cookies with Lemon Icing {A Tribute to Aunt Roxanne}</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/slow-cooked-ratatouille-over-goat-cheese-polenta-185202"">Slow-Cooked Ratatouille Over Goat Cheese Polenta</a>, <a href=""https://spoonacular.com/recipes/ratatouilles-ratatouille-thomas-kellers-confit-byaldi-498135"">Ratatouille’s Ratatouille (Thomas Keller’s Confit Byaldi)</a>, and <a href=""https://spoonacular.com/recipes/raw-power-bowls-908615"">Raw Power Bowls</a> for similar recipes."
Inside-Out Lasagna,italian,384,9,60,19,"Inside-Out Lasagna might be just the main course you are searching for. For <b>$1.89 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. One serving contains <b>384 calories</b>, <b>19g of protein</b>, and <b>9g of fat</b>. Many people made this recipe, and 5585 would say it hit the spot. This recipe is typical of Mediterranean cuisine. From preparation to the plate, this recipe takes about <b>25 minutes</b>. Head to the store and pick up rotini, canned tomatoes, pepper, and a few other things to make it today. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/inside-out-cheeseburger-278573"">Inside-Out Cheeseburger</a>, <a href=""https://spoonacular.com/recipes/inside-out-veggie-dip-368556"">Inside-Out Veggie Dip</a>, and <a href=""https://spoonacular.com/recipes/inside-out-slider-bar-745216"">Inside Out Slider Bar</a> for similar recipes."
Thai Chicken Pizza,italian,465,20,33,41,"Thai Chicken Pizza might be just the <b>Mediterranean</b> recipe you are searching for. One serving contains <b>525 calories</b>, <b>45g of protein</b>, and <b>25g of fat</b>. This gluten free recipe serves 1 and costs <b>$3.47 per serving</b>. If you have rice vinegar, handful spinach, ginger, and a few other ingredients on hand, you can make it. To use up the rice vinegar you could follow this main course with the <a href=""https://spoonacular.com/recipes/red-velvet-mug-cake-189954"">Red Velvet Mug Cake</a> as a dessert. 305 people have made this recipe and would make it again. It works best as a main course, and is done in about <b>25 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/california-pizza-kitchen-thai-chicken-pizza-601530"">California Pizza Kitchen Thai Chicken Pizza</a>, <a href=""https://spoonacular.com/recipes/thai-chicken-pizza-499378"">Thai Chicken Pizza</a>, and <a href=""https://spoonacular.com/recipes/thai-chicken-pizza-569875"">Thai Chicken Pizza</a> for similar recipes."
Italian Sausage Stew with White Beans and Kale,italian,457,15,50,35,"Italian Sausage Stew with White Beans and Kale might be just the main course you are searching for. For <b>$2.25 per serving</b>, this recipe <b>covers 44%</b> of your daily requirements of vitamins and minerals. Watching your figure? This gluten free and dairy free recipe has <b>457 calories</b>, <b>35g of protein</b>, and <b>15g of fat</b> per serving. Several people made this recipe, and 197 would say it hit the spot. It can be enjoyed any time, but it is especially good for <b>Autumn</b>. A mixture of firmly-packed cups of torn kale leaves, canned tomatoes, carrots, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. This recipe is typical of Mediterranean cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/italian-sausage-soup-with-kale-and-beans-926925"">Italian Sausage Soup with Kale and Beans</a>, <a href=""https://spoonacular.com/recipes/white-bean-kale-and-sausage-stew-224943"">White Bean, Kale and Sausage Stew</a>, and <a href=""https://spoonacular.com/recipes/kale-with-sausage-and-white-beans-245094"">Kale with Sausage and White Beans</a> for similar recipes."
Roasted Cauliflower Lasagna,italian,600,21,77,34,"Roasted Cauliflower Lasagna might be just the main course you are searching for. For <b>$3.24 per serving</b>, this recipe <b>covers 46%</b> of your daily requirements of vitamins and minerals. This recipe makes 4 servings with <b>592 calories</b>, <b>34g of protein</b>, and <b>21g of fat</b> each. 19303 people have tried and liked this recipe. A mixture of part-skim mozzarella, cauliflower florets, olive oil, and a handful of other ingredients are all it takes to make this recipe so tasty. From preparation to the plate, this recipe takes about <b>1 hour and 40 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/cook-the-book-lasagna-with-roasted-cauliflower-ricotta-and-spinach-207571"">Cook the Book: Lasagna with Roasted Cauliflower Ricottan and Spinach</a>, <a href=""https://spoonacular.com/recipes/cauliflower-noodles-lasagna-798646"">Cauliflower Noodles Lasagna</a>, and <a href=""https://spoonacular.com/recipes/wild-mushroom-and-cauliflower-lasagna-286439"">Wild Mushroom and Cauliflower Lasagna</a> for similar recipes."
Pizza Sliders,italian,561,21,69,27,"Pizza Sliders might be just the <b>Mediterranean</b> recipe you are searching for. One serving contains <b>561 calories</b>, <b>27g of protein</b>, and <b>21g of fat</b>. For <b>$2.92 per serving</b>, you get a hor d'oeuvre that serves 4. Head to the store and pick up bell peppers, pizza sauce, wheat dinner rolls, and a few other things to make it today. This recipe is liked by 920 foodies and cooks. It is a good option if you're following a <b>vegetarian</b> diet. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/pizza-sliders-689331"">Pizza Sliders</a>, <a href=""https://spoonacular.com/recipes/pepperoni-pizza-sliders-838803"">Pepperoni Pizza Sliders</a>, and <a href=""https://spoonacular.com/recipes/pepperoni-pizza-sliders-837621"">Pepperoni Pizza Sliders</a>."
Italian Beef Stew,italian,421,16,31,38,"Italian Beef Stew might be just the <b>Mediterranean</b> recipe you are searching for. For <b>$2.89 per serving</b>, you get a main course that serves 8. One serving contains <b>483 calories</b>, <b>45g of protein</b>, and <b>20g of fat</b>. 521 person have tried and liked this recipe. It will be a hit at your <b>Autumn</b> event. Head to the store and pick up cremini mushroom, wine vinegar, carrots, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>4 hours and 55 minutes</b>. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Similar recipes include <a href=""https://spoonacular.com/recipes/italian-beef-stew-417562"">Italian Beef Stew</a>, <a href=""https://spoonacular.com/recipes/italian-beef-stew-273956"">Italian Beef Stew</a>, and <a href=""https://spoonacular.com/recipes/italian-beef-and-ravioli-stew-159429"">Italian Beef and Ravioli Stew</a>."
Tofu-Spinach Lasagne,italian,261,6,36,18,"Tofu-Spinach Lasagne might be just the <b>Mediterranean</b> recipe you are searching for. This vegan recipe serves 8 and costs <b>$1.95 per serving</b>. One serving contains <b>236 calories</b>, <b>16g of protein</b>, and <b>4g of fat</b>. Many people really liked this main course. 10866 people have made this recipe and would make it again. Head to the store and pick up tomato sauce, sugar, salt, and a few other things to make it today. To use up the tofu you could follow this main course with the <a href=""https://spoonacular.com/recipes/tofu-cheesecake-131272"">Tofu Cheesecake</a> as a dessert. From preparation to the plate, this recipe takes around <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/lasagne-bolognese-with-spinach-188461"">Lasagne Bolognese with Spinach</a>, <a href=""https://spoonacular.com/recipes/spinach-pine-nut-lasagne-223889"">Spinach & pine nut lasagne</a>, and <a href=""https://spoonacular.com/recipes/baked-spinach-lasagne-19742"">Baked Spinach Lasagne</a> for similar recipes."
Creamy Italian Baked Pasta with Kale and Tomatoes,italian,278,11,32,15,"You can never have too many main course recipes, so give Creamy Italian Baked Pasta with Kale and Tomatoes a try. One serving contains <b>265 calories</b>, <b>15g of protein</b>, and <b>11g of fat</b>. For <b>$1.22 per serving</b>, this recipe <b>covers 17%</b> of your daily requirements of vitamins and minerals. 64 people have tried and liked this recipe. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. This recipe is typical of Mediterranean cuisine. A mixture of pepper flakes, kale, garlic, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the pasta you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-dessert-pasta-138646"">Chocolate Dessert Pasta</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/cavatappi-pasta-with-turkey-italian-sausage-mushrooms-tomatoes-and-kale-497298"">Cavatappi Pasta with Turkey Italian Sausage, Mushrooms, Tomatoes, and Kale</a>, <a href=""https://spoonacular.com/recipes/creamy-vegan-pasta-with-sauted-kale-and-tomatoes-793842"">Creamy Vegan Pasta with Sautéed Kale, and Tomatoes</a>, and <a href=""https://spoonacular.com/recipes/creamy-baked-risotto-with-italian-sausage-and-sun-dried-tomatoes-718525"">Creamy Baked Risotto with Italian Sausage and Sun-Dried Tomatoes</a> for similar recipes."
Butternut Squash Lasagna with Onion and Broccoli,italian,384,12,53,17,"Butternut Squash Lasagna with Onion and Broccoli might be just the main course you are searching for. One serving contains <b>394 calories</b>, <b>17g of protein</b>, and <b>14g of fat</b>. For <b>$1.36 per serving</b>, this recipe <b>covers 25%</b> of your daily requirements of vitamins and minerals. If you have milk, butternut squash, broccoli florets, and a few other ingredients on hand, you can make it. To use up the bay leaf you could follow this main course with the <a href=""https://spoonacular.com/recipes/adorable-applesauce-cupcakes-182131"">Adorable Applesauce Cupcakes</a> as a dessert. 1056 people have tried and liked this recipe. This recipe is typical of Mediterranean cuisine. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 92%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/butternut-squash-caramelized-onion-and-spinach-lasagna-209205"">Butternut Squash, Caramelized Onion, and Spinach Lasagna</a>, <a href=""https://spoonacular.com/recipes/butternut-squash-caramelized-onion-and-spinach-lasagna-549874"">Butternut Squash, Caramelized Onion, and Spinach Lasagna</a>, and <a href=""https://spoonacular.com/recipes/butternut-squash-lasagna-502179"">Butternut Squash Lasagna</a> for similar recipes."
Sweet Potato and Black Bean Mexican Salad,mexican,463,12,78,16,"Sweet Potato and Black Bean Mexican Salad might be just the <b>Mexican</b> recipe you are searching for. This recipe serves 4 and costs $1.65 per serving. One serving contains <b>370 calories</b>, <b>14g of protein</b>, and <b>12g of fat</b>. From preparation to the plate, this recipe takes roughly <b>50 minutes</b>. 10746 people have made this recipe and would make it again. If you have avocado, beans, romaine lettuce, and a few other ingredients on hand, you can make it. To use up the black beans you could follow this main course with the <a href=""https://spoonacular.com/recipes/black-beans-and-sweet-potato-dessert-249663"">Black Beans and Sweet Potato Dessert</a> as a dessert. Several people really liked this main course. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Similar recipes include <a href=""https://spoonacular.com/recipes/one-pot-mexican-black-bean-sweet-potato-quinoa-825438"">One Pot Mexican Black Bean Sweet Potato Quinoa</a>, <a href=""https://spoonacular.com/recipes/black-bean-and-sweet-potato-salad-107128"">Black Bean and Sweet Potato Salad</a>, and <a href=""https://spoonacular.com/recipes/sweet-potato-and-black-bean-chicken-salad-490325"">Sweet Potato and Black Bean “Chicken” Salad</a>."
Ginger Citrus Salmon with Cucumber and Orange Salsa,mexican,384,18,18,36,"Ginger Citrus Salmon with Cucumber and Orange Salsa might be just the main course you are searching for. Watching your figure? This caveman, gluten free, dairy free, and primal recipe has <b>371 calories</b>, <b>36g of protein</b>, and <b>18g of fat</b> per serving. This recipe serves 2 and costs $4.74 per serving. From preparation to the plate, this recipe takes about <b>15 minutes</b>. This recipe is liked by 800 foodies and cooks. A mixture of ginger, jalapeno, fish sauce, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the orange zest you could follow this main course with the <a href=""https://spoonacular.com/recipes/orange-infused-dark-chocolate-ice-cream-with-toasted-walnuts-539769"">Orange-Infused Dark Chocolate Ice Cream with Toasted Walnuts</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/salmon-with-ginger-citrus-salsa-158635"">Salmon with Ginger-Citrus Salsa</a>, <a href=""https://spoonacular.com/recipes/cucumber-citrus-salsa-22913"">Cucumber Citrus Salsa</a>, and <a href=""https://spoonacular.com/recipes/grilled-fish-tacos-with-cucumber-citrus-salsa-3650"">Grilled Fish Tacos With Cucumber Citrus Salsa</a> for similar recipes."
Cauliflower Rice Burrito Bowl,mexican,604,37,62,16,"Cauliflower Rice Burrito Bowl might be just the <b>Mexican</b> recipe you are searching for. This main course has <b>604 calories</b>, <b>16g of protein</b>, and <b>37g of fat</b> per serving. This gluten free and vegan recipe serves 4 and costs <b>$3.31 per serving</b>. 1166 people have made this recipe and would make it again. If you have water, olive oil, mild chiles, and a few other ingredients on hand, you can make it. To use up the avocado you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-avocado-mousse-quick-dark-chocolate-avocado-mousse-486646"">chocolate avocado mousse | quick dark chocolate avocado mousse</a> as a dessert. From preparation to the plate, this recipe takes about <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Similar recipes include <a href=""https://spoonacular.com/recipes/chicken-carnitas-burrito-bowl-with-cilantro-lime-cauliflower-rice-471580"">Chicken Carnitas Burrito Bowl with Cilantro Lime Cauliflower Rice</a>, <a href=""https://spoonacular.com/recipes/chipotles-chicken-burrito-bowl-with-cilantro-lime-rice-515751"">Chipotle’s Chicken Burrito Bowl with Cilantro Lime Rice</a>, and <a href=""https://spoonacular.com/recipes/chipotles-chicken-burrito-bowl-with-cilantro-lime-rice-667434"">Chipotle's Chicken Burrito Bowl with Cilantro Lime Rice</a>."
Meal Plan Day 3: Quinoa & Kale Quesadillas,mexican,1024,70,63,40,"Meal Plan Day 3: Quinoa & Kale Quesadillas is a <b>lacto ovo vegetarian</b> recipe with 2 servings. This hor d'oeuvre has <b>883 calories</b>, <b>39g of protein</b>, and <b>55g of fat</b> per serving. For <b>$2.79 per serving</b>, this recipe <b>covers 44%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 297 foodies and cooks. From preparation to the plate, this recipe takes around <b>12 minutes</b>. This recipe from Love & Lemons requires lime wedges, avocado, jack cheese, and flour tortillas. Many people really liked this Mexican dish. Taking all factors into account, this recipe <b>earns a spoonacular score of 95%</b>, which is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/kale-and-eggs-benedict-for-ketogenic-diet-week-meal-plan-friday-day-6-766151"">Kale and Eggs Benedict for Ketogenic Diet Week Meal Plan- Friday Day 6</a>, <a href=""https://spoonacular.com/recipes/weekly-meal-plan-17-777037"">Weekly Meal Plan #17</a>, and <a href=""https://spoonacular.com/recipes/your-3-day-keto-kickstart-and-menu-plan-766649"">Your 3 Day Keto Kickstart and Menu Plan</a>."
Spicy Black Bean Chicken Enchiladas with Pumpkin Sour Cream Sauce,mexican,644,25,57,51,"Spicy Black Bean Chicken Enchiladas with Pumpkin Sour Cream Sauce might be just the <b>Mexican</b> recipe you are searching for. For <b>$2.56 per serving</b>, you get a main course that serves 8. One serving contains <b>711 calories</b>, <b>50g of protein</b>, and <b>33g of fat</b>. 11404 people have made this recipe and would make it again. A mixture of colby jack cheese, cream, salt, and a handful of other ingredients are all it takes to make this recipe so scrumptious. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/spicy-pumpkin-black-bean-enchiladas-548991"">Spicy Pumpkin-Black Bean Enchiladas</a>, <a href=""https://spoonacular.com/recipes/spicy-butternut-squash-black-bean-enchiladas-with-chipotle-greek-yogurt-sauce-809899"">Spicy Butternut Squash Black Bean Enchiladas with Chipotle Greek Yogurt Sauce</a>, and <a href=""https://spoonacular.com/recipes/black-bean-chicken-enchiladas-with-spicy-avocado-tomato-salsa-523828"">Black Bean Chicken Enchiladas with Spicy Avocado-Tomato Salsa</a>."
Ginger Sirloin with Strawberry Salsa,mexican,545,26,19,59,"You can never have too many main course recipes, so give Ginger Sirloin with Strawberry Salsan a try. This recipe serves 1 and costs $5.04 per serving. One serving contains <b>523 calories</b>, <b>59g of protein</b>, and <b>26g of fat</b>. 153 people were impressed by this recipe. Head to the store and pick up top sirloin, salt, pepper, and a few other things to make it today. To use up the strawberries you could follow this main course with the <a href=""https://spoonacular.com/recipes/crepes-with-strawberries-511446"">Crepes with Strawberries</a> as a dessert. It can be enjoyed any time, but it is especially good for <b>Mother's Day</b>. It is a good option if you're following a <b>caveman, gluten free, dairy free, and primal</b> diet. This recipe is typical of Mexican cuisine. From preparation to the plate, this recipe takes approximately <b>25 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/grilled-top-sirloin-with-strawberry-salsa-510936"">Grilled Top Sirloin with Strawberry Salsa</a>, <a href=""https://spoonacular.com/recipes/ginger-sirloin-strips-437271"">Ginger Sirloin Strips</a>, and <a href=""https://spoonacular.com/recipes/ginger-lime-sirloin-41906"">Ginger-lime Sirloin</a> for similar recipes."
Spicy Butternut Squash Black Bean Enchiladas with Chipotle Greek Yogurt Sauce,mexican,585,18,66,44,"Spicy Butternut Squash Black Bean Enchiladas with Chipotle Greek Yogurt Sauce might be just the main course you are searching for. For <b>$3.2 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. This recipe makes 6 servings with <b>579 calories</b>, <b>44g of protein</b>, and <b>18g of fat</b> each. Plenty of people made this recipe, and 22674 would say it hit the spot. It is a good option if you're following a <b>gluten free and vegetarian</b> diet. If you have chipotle peppers in adobo sauce, beans, corn, and a few other ingredients on hand, you can make it. To use up the nonfat greek yogurt you could follow this main course with the <a href=""https://spoonacular.com/recipes/greek-yogurt-biscuits-584823"">Greek Yogurt Biscuits</a> as a dessert. This recipe is typical of Mexican cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/butternut-squash-and-black-bean-quinoa-bowls-with-vegan-chipotle-sauce-616482"">butternut squash and black bean quinoa bowls with vegan chipotle sauce</a>, <a href=""https://spoonacular.com/recipes/butternut-squash-black-bean-enchiladas-833952"">Butternut Squash & Black Bean Enchiladas</a>, and <a href=""https://spoonacular.com/recipes/butternut-squash-black-bean-enchiladas-558201"">Butternut Squash Black Bean Enchiladas</a> for similar recipes."
blackened salmon tacos with cilantro yogurt sauce,mexican,809,41,54,60,"Blackened salmon tacos with cilantro yogurt sauce might be just the main course you are searching for. For <b>$9.21 per serving</b>, this recipe <b>covers 52%</b> of your daily requirements of vitamins and minerals. One serving contains <b>809 calories</b>, <b>60g of protein</b>, and <b>41g of fat</b>. Plenty of people made this recipe, and 329 would say it hit the spot. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is a good option if you're following a <b>gluten free and pescatarian</b> diet. This recipe is typical of Mexican cuisine. If you have garlic powder, salt and pepper, cayenne pepper, and a few other ingredients on hand, you can make it. To use up the lime zest you could follow this main course with the <a href=""https://spoonacular.com/recipes/orange-marmalade-cookies-with-orange-zest-icing-589746"">Orange Marmalade Cookies with Orange Zest Icing</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/blackened-salmon-tacos-with-corn-salsa-and-cilantro-lime-ranch-543439"">Blackened Salmon Tacos with Corn Salsan and Cilantro Lime Ranch</a>, <a href=""https://spoonacular.com/recipes/blackened-salmon-tacos-with-corn-salsa-and-cilantro-lime-ranch-622459"">Blackened Salmon Tacos with Corn Salsan and Cilantro-Lime Ranch</a>, and <a href=""https://spoonacular.com/recipes/blackened-salmon-tacos-with-avocado-corn-salsa-cilantro-ranch-dressing-519728"">Blackened Salmon Tacos with Avocado Corn Salsa & Cilantro Ranch Dressing</a> for similar recipes."
