title,region,instructions
Italian Beef Stew,italian,"Heat 2 Tbsp olive oil in a large enameled cast iron pot over medium-high heat. Once hot add carrots, celery and onion and saute until lightly golden, about 5 - 6 minutes. Add garlic and saute 30 seconds longer. Pour mixture into a heat proof bowl and set aside. Place beef in a large resealable bag, add flour and season lightly with salt and pepper. Seal bag and toss well to evenly coat beef in flour. Return pot to medium-high heat, add remaining 3 Tbsp olive oil. Once oil is hot add beef and cook stirring occasionally until beef has browned. Add 1 cup broth and red wine vinegar and cook, stirring frequently while scraping bottom of pan to loosen browned bits on bottom, until sauce has thickened. Add remaining 3 cups beef broth, diced tomatoes, oregano, thyme, rosemary, marjoram, bay leaves, potatoes, mushrooms and sauteed veggie mixture. Season with salt and pepper to taste and bring mixture just to a boil, stirring occasionally. Reduce heat, cover pot and simmer 3 - 4 hours, stirring occasionally, until beef is very tender.Stir in fresh basil and parsley. Serve warm sprinkled with Parmesan or Romano cheese if desired.Recipe Source: Cooking Classy"
Tofu-Spinach Lasagne,italian,"<p>Cook the lasagne noodles according to the package directions. Drain and set aside.</p><p>Preheat the oven to 350 degrees F.</p><p>Squeeze the spinach as dry as possible and set aside.</p><p>Place the tofu, sugar, soy milk, garlic powder, lemon juice, basil, and salt in a food processor or blender and blend until smooth. Stir in the spinach.</p><p>Cover the bottom of a 9-inch-by-13-inch baking dish with a thin layer of tomato sauce, then a layer of noodles (use about one-third of the noodles). Follow with half of the tofu filling. Continue in the same order, using half of the remaining tomato sauce and noodles and all of the remaining tofu filling. End with the remaining noodles, covered by the remaining tomato sauce. Bake for 25 to 30 minutes.</p>"
Creamy Italian Baked Pasta with Kale and Tomatoes,italian,"Preheat oven to 350ºF. Spray a 9x13"" baking dish with nonstick cooking spray.Heat olive oil in a skillet over medium heat. Add the tomato halves and saute until softened and beginning to blister, about 4 minutes. Add the garlic, red pepper and salt. Saute for 1 more minute and remove from heat.Bring a large pot of water to a boil. Add the pasta and cook until al dente, adding the kale during the last 5 minutes of cooking. Reserve 1 cup of cooking water, then drain the pasta well and return to the pot. Combine the silken tofu and pasta water in a blender and process until smooth. Add the egg and blend again. Pour the mixture into a medium saucepan. Gently bring to a simmer over medium-low heat. Add about 1/4 of the cheese and stir until melted; repeat with remaining cheese. Turn off heat. Pour the cheese sauce over the cooked pasta and kale and stir to combine. Fold in tomatoes and fresh herbs. Transfer to the prepared baking dish. Bake for 20-25 minutes, until hot and bubbly. (May be prepared ahead of time, covered, and baked just before serving.)"
Butternut Squash Lasagna with Onion and Broccoli,italian,"Preheat oven to 425°.Combine squash, 1 tablespoon oil, sage, garlic, ½ teaspoon salt, and black pepper in a large bowl; toss to coat. Arrange squash mixture on a baking sheet coated with cooking spray. Bake at 425° for 30 minutes or until squash is tender. Cool slightly; peel garlic. Place squash and garlic in a bowl; partially mash with a fork.Heat remaining 1 tablespoon oil in a large Dutch oven over medium-high heat. Add onion, and sauté for 4 minutes. Reduce heat to medium-low; continue cooking for 10 minutes, add tomatoes and cook for another 5 minutes, stirring frequently. Place onion, tomato and cooked broccoli in a bowl.Heat 4½ cups milk, and bay leaf in a medium saucepan over medium-high heat. Bring to a boil; remove from heat. Let stand for 10 minutes. Discard bay leaf. Return pan to medium heat. Combine remaining ½ cup milk and flour in a small bowl. Add to pan, stirring with a whisk until blended. Bring to a boil; reduce heat, and simmer for 5 minutes or until thickened, stirring constantly. Remove from heat; stir in remaining ½ teaspoon salt, 1¼ cups cheese, red pepper, and nutmeg.Spread ½ cup milk mixture in bottom of a 13 x 9-inch glass or ceramic baking dish coated with cooking spray. Arrange 3 noodles over milk mixture; top with half of squash mixture, half of broccoli mixture, and ¾ cup milk mixture. Repeat layers, ending with noodles. Spread remaining milk mixture over noodles. Bake at 425° for 30 minutes, and remove from oven. Sprinkle with remaining ¼ cup cheese.Preheat broiler.Broil 2 minutes or until cheese is melted and lightly browned. Let stand 10 minutes before serving."
Sweet Potato and Black Bean Mexican Salad,mexican,"1. Preheat oven to 400 degrees F. Place the chopped sweet potatoes on a large baking sheet. Drizzle with olive oil and toss. Season with salt and black pepper, to taste. Place sheet in the oven and roast for 20 minutes. Using a spatula, toss the sweet potatoes. Roast for an additional 15 minutes or until the sweet potatoes are tender. Remove from oven and set aside. 2. Place chopped lettuce in a large bowl. Top lettuce with roasted sweet potatoes, black beans, tomatoes, corn, avocado, purple cabbage, cilantro, and green onion. Squeeze fresh lime juice over the salad. Serve with salsa, pico de gallo or Creamy Avocado Dressing, if desired.Note-I like to roast or grill the corn for the salad. This salad is very flexible. Feel free to add your favorite Mexican toppings to the mix. Don't use the avocado dressing if you need the salad to be vegan."
Ginger Citrus Salmon with Cucumber and Orange Salsa,mexican,"Chop all your salsa ingredients, toss all ingredients together in a bowl, then place in refrigerator.Heat up a medium skillet over medium heat and add your coconut milk, coconut aminos, fish sauce, fresh ginger and orange zest.Once the coconut milk begins to slightly bubble, add your salmon filets to the sauce.Cook salmon for about 2-4 minutes per side or until cooked to preference.Plate salmon then top with salsa, making sure some of the coconut milk makes it over the salmon!Boom sauce!!"
Cauliflower Rice Burrito Bowl,mexican,"Make the cashew cream. In a blender, combine the cashews, green chiles, scallion, cilantro, garlic, lime juice, water and a pinch of salt and pepper. Blend well and season to taste. Add additional water if necessary to get your blender blade moving. Chill until ready to use.Preheat the oven to 350F and line a baking sheet with parchment paper. Place the tortilla strips on the baking sheet and toss with a drizzle of olive oil and a pinch of salt. Bake for 10 minutes or until crispy. Remove from the oven and set aside.Make sure your cauliflower is fully dry. Place the cauliflower in a food processor and pulse until it has the texture of rice. Work in batches if necessary and dont over process or it will get mushy.In a large skillet, heat 1 teaspoon of olive oil over medium heat. Add the cauliflower and saut until heated through, about 5 minutes. Season with salt, pepper and a squeeze of lime juice to help remove any bitterness from the raw cauliflower. Skip this step if you prefer raw cauliflower rice. Remove from the skillet and portion the rice into 4 serving bowls.In a medium skillet, heat 1 teaspoon of olive oil over medium heat. Saut the leeks and poblanos with generous pinches of salt and pepper. Cook until soft for 7 to 10 minutes, and then add the minced garlic and oregano. Stir, cook for 1 minute, then add a squeeze of lime and remove from heat. Distribute among the bowls.To the bowls add the black beans, mango, avocado, and cilantro. Top with the crispy tortilla strips and serve with the green sauce and extra lime wedges."
Meal Plan Day 3: Quinoa & Kale Quesadillas,mexican,"Heat a medium skillet to medium-low and brush with olive oil. Add the leftover kale salad, the additional cooked quinoa and toss, lightly heating, just until the kale wilts, about 2 minutes. Remove from the heat and stir in a scoop of salsa. Season to taste.
Assemble the tortillas with the shredded cheese and the kale/quinoa mixture. Wipe out the pan, and heat it to medium, with a drizzle of olive oil. Fold each filled tortilla in half and place each into the pan (you may have to work in batches). Heat the quesadillas about 2 minutes per side or until nicely charred. I like to put a loose cover on so that the steam helps the cheese melt. Repeat with all quesadillas. Serve with the remaining salsa, the avocado, lime wedges, peppers or hot sauce, and cilantro, as desired."
Spicy Black Bean Chicken Enchiladas with Pumpkin Sour Cream Sauce,mexican,"Begin by making the pumpkin sour cream sauce: In your food processor or blender combine pumpkin puree, tomato sauce, sour cream, chili powder, and garlic and puree until smooth. Taste and season with salt and pepper; set aside.Place 3 cups of shredded chicken in large bowl and add about a little less than half of the pumpkin sour cream sauce to it, toss chicken to coat; set aside remaining pumpkin sauce.Preheat oven to 375 degrees F. Spray 9x13 baking dish with nonstick cooking spray and spread a thin layer of pumpkin cream sauce on the bottom of pan.Heat large non-stick pan over medium heat and add olive oil. Add onion and minced garlic and cook until onions begin to soften. Add black beans, jalapeno, tomato sauce, chili powder, cumin, red pepper flakes, salt and pepper. Stir and bring to a slight boil, then reduce heat to medium low, stir consistently and let simmer for 5 minutes while sauce thickens.Next warm tortillas in microwave for about 30 seconds so they are easier to roll. Then, place about 1/4 cup of black bean mixture on each tortilla. Next take about 1/4 cup of chicken and pumpkin cream mixture and place on top of beans. Sprinkle 1-2 tablespoons of Colby jack cheese in each tortilla. Roll each tortilla and place seam side down in baking pan. Pour remaining enchilada sauce and sprinkle additional cheese on top.Bake for 20-30 minutes until cheese is melted and edges of tortillas begin to turn golden brown. Top with sour cream, greek yogurt, avocado, or cilantro.Makes about 8 servings -- 2 enchiladas each."
Ginger Sirloin with Strawberry Salsa,mexican,"Preheat your grill on high heatEnsure your steak has come to room temperature for at least 30 minutesCombine your almonds, strawberries, and balsamic (if using) in your food processor and blend it down to a salsaGenerously rub your sirloin with ginger and then lightly season with salt and pepperGrill your steak to your likingWhen finished, cover your steak on a plate with aluminum foil for at least 5 minutes to allow the meat to restTop with your strawberry salsa and enjoy"
Spicy Butternut Squash Black Bean Enchiladas with Chipotle Greek Yogurt Sauce,mexican,"Preheat oven to 350 degrees F. Spray 9x13 inch baking pan with nonstick cooking spray.Make the sauce: Add tomato sauce, chipotle peppers with adobo sauce, greek yogurt, chili powder and garlic to bowl of a food processor; process a few times until smooth. Place in the fridge to thicken it up.Heat olive oil over medium heat in large skillet. Add garlic and diced onions and saute until garlic becomes fragrant (about 1 min). Add cubed butternut squash, stir, and cover for about 8 minutes or until fork tender, stirring occasionally to ensure squash doesn't burn. Add a few teaspoons of water to the pan if necessary to help the squash cook. Once squash is fork tender, transfer to large bowl and add in black beans, corn, and in 1 cup of prepared enchilada sauce; stir to combine.To assemble enchiladas: Add 3/4 cup enchilada sauce to bottom of a 9x13 inch pan and spread around. Warm tortillas in microwave for 30 seconds so that they are easier to roll up. If you find them hard to roll, I recommend dipping each tortilla in a bit of the enchilada sauce; this will make it much easier to roll and add flavor, too! Add about 1/2 cup of the butternut squash & black bean filling to each tortilla and 1 tablespoon of cheese. Roll each tortilla up and place seam side down in baking pan. Pour remaining enchilada sauce over the top along with remaining cheese.Bake for 25-35 minutes or until cheese is melted and the edges of tortillas begin to turn a nice golden brown. Top with extra greek yogurt, avocado slices, cilantro, and green onions, if desired. Makes 6 servings  2 enchiladas each."
blackened salmon tacos with cilantro yogurt sauce,mexican,"Combine all ingredients in medium bowl.  Refrigerate while making salmon and yogurt sauce.Combine all ingredients in food processor and pulse until well combined.Refrigerate while making salmon.Combine chili powder, paprika, brown sugar, cayenne, garlic powder, cumin, and salt and pepper in small bowl.Rub blackening seasoning over both sides of salmon. Heat oil in medium skillet over medium-high heat.Once oil is hot, add salmon.  Cook 3-4 minutes per side, or until it flakes easily and is cooked through.Spoon flaked salmon into warmed tortilla shells.Top with corn and avocado salsa and yogurt sauce. Enjoy!"
Sherla's Southern Greens,southern,"Watch how to make this recipe.                    Hot sauce, such as Aardvark or your favorite                          Roughly chop the collards and kale into 1/2-inch pieces. Wash well under cold water. Drain and set aside.                          In a large Dutch oven or stockpot over medium heat, add a film of olive oil followed by the turkey wings. Cook until the wings are just about crisped on all sides, about 5 minutes. Add the onions and garlic and a large pinch of salt and sweat until the vegetables are softened and aromatic, about 3 minutes. Add the greens along with the jalapenos, vinegar, sugar and 1 tablespoon salt. Cover and cook until the greens are nicely wilted, 30 minutes. Remove from the heat and check the seasoning, adding salt and vinegar as needed. Add hot sauce to taste and serve."
Shrimp and Grits,southern,"Procedures                                                                              1                                                                            In a medium saucepan, bring water to a boil. Add salt, then grits and cook, stirring frequently, until thick, about 10 minutes. Stir in cheese. Keep warm.                                                                                                                             2                                                                            In a large saucepan, heat olive oil over medium high heat until shimmering. Season shrimp with salt and pepper, add to pan, and saute until cooked through, about 1 minute per side. Remove shrimp with a slotted spoon and set aside.                                                                                                                            3                                                                            Whisk flour into pan and cook, stirring constantly, until pale golden, about 1 minute. Whisk in chicken broth, garlic, scallions, salt, pepper, and hot sauce. Cook until slightly reduced, about 3 minutes. Add shrimp and spinach to pan and cook until spinach is wilted.                                                                                                                             4                                                                            Place grits on every plate and top with shrimp, spinach, and sauce."
Pan-Seared Salmon with Summer Succotash,southern,"Preheat the oven to 350 degrees F.                          For the sauce: In a medium bowl whisk together the creme fraiche, mustard, lemon zest, lemon juice and salt. Cover with plastic wrap and set aside.                          For the salmon: Sprinkle the salmon fillets on all sides with the salt. Heat the olive oil in a large oven-proof skillet over medium-high heat. With tongs, gently place the salmon, flesh-side down, in the pan. Allow the salmon to cook, undisturbed, for 3 minutes to form a golden crust. Using a spatula, gently flip each fillet. Transfer the pan to the oven for an additional 5 minutes. Remove from the oven and cover with foil to keep warm.                          For the succotash: Heat the olive oil in a medium skillet over medium-high heat. Add the red peppers and shallots and cook for 4 minutes, stirring often with a wooden spoon. Add the corn, edamame and salt and cook for another 3 minutes. Remove the pan from the heat and stir in the kale, basil and lemon juice.                          To serve: Spread 2 tablespoons of the sauce in a circle on each serving plate. Top with 1/2 cup of the succotash, and a salmon fillet. Serve with sauce on the side if desired."
Chocolate Peanut Butter Oatmeal Smoothie,southern,"Add all the ingredients to a blender and puree until the oats are completely liquified and mixture is smooth.Add some ice cubes if you want a chilled treat, refrigerate the smoothie for later or enjoy immediately!"
Almond-Crusted Trout with White Grits and Swiss Chard,southern,"Bring grits and 4 cups water to a boil in a medium pot. Reduce heat to medium-low and gently simmer, whisking occasionally, until liquid is absorbed and grits are tender and creamy, 2025 minutes. Season with salt and pepper.Meanwhile, pulse almonds in a food processor until texture of coarse breadcrumbs. Transfer to a shallow baking dish; season with salt and pepper.Place egg in another shallow baking dish. Season trout with salt and pepper. Working one at a time, dip skin side of fillets into egg, then in almonds, pressing to adhere. Transfer to a plate as you go.Heat oil in a large skillet over medium-high until very hot but not smoking. Cook 2 fillets, almond side down, pressing with a spatula occasionally to ensure contact with skillet, until almonds are well toasted and fish is nearly cooked through, about 3 minutes. Turn and cook until opaque throughout, about 1 minute more. Transfer to a plate. Repeat with remaining fillets.Wipe out skillet. Add chard and shallot and season with salt and pepper. Cook, tossing, until chard is wilted, about 2 minutes. Serve chard and trout over grits with lemon wedges."
Almond-Crusted Trout with White Grits and Swiss Chard,southern,"Preparation                                        Bring grits and 4 cups water to a boil in a medium pot. Reduce heat to medium-low and gently simmer, whisking occasionally, until liquid is absorbed and grits are tender and creamy, 2025 minutes. Season with salt and pepper.                                                                            Meanwhile, pulse almonds in a food processor until texture of coarse breadcrumbs. Transfer to a shallow baking dish; season with salt and pepper.                                                                            Place egg in another shallow baking dish. Season trout with salt and pepper. Working one at a time, dip skin side of fillets into egg, then in almonds, pressing to adhere. Transfer to a plate as you go.                                                                            Heat oil in a large skillet over mediumhigh until very hot but not smoking. Cook 2 fillets, almond side down, pressing with a spatula occasionally to ensure contact with skillet, until almonds are well toasted and fish is nearly cooked through, about 3 minutes. Turn and cook until opaque throughout, about 1 minute more. Transfer to a plate. Repeat with remaining fillets.                                                                            Wipe out skillet. Add chard and shallot and season with salt and pepper. Cook, tossing, until chard is wilted, about 2 minutes. Serve chard and trout over grits with lemon wedges.                                    Calories 615 - Fat 31 g - Fiber 6 gNutritional analysis provided by Bon Apptit"
Southern Tenderloin Biscuits,southern,"Prepare your [buttermilk biscuits|http://addapinch.com/cooking/2010/09/27/southern-buttermilk-biscuits/] following the recipe.Slice your pork tenderloin into about 12 slice 1 inches thick. Heat olive oil in a large skillet over medium heat. Place tenderloin slices in skillet and cook for about 3 minutes on each side. Remove to a plate and let rest for about 3 minutes.Split open a biscuit and place one to two slices of pork tenderloin inside. Top with slices of cheddar cheese and top half of biscuit. Press lightly.Allow to sit for a bit to allow the cheese to melt slightly. If it does not, place assembled biscuits onto sheet pan and back into the oven for about 2 minutes to warm and allow the cheese to melt."
Cilantro Pesto-Stuffed Pork Tenderloin With Summer Succotash,southern,"Procedures                                                                              1                                                                            Place 1 cup cilantro, parsley and two cloves garlic in a food processor fitted with a metal blade. Pulse until it forms a coarse paste. With the processor running, add the pine nuts, lemon juice, Parmesan, 1/2 teaspoon salt and and 1/2 teaspoon pepper. Slowly drizzle in olive oil and water. Process until smooth, stopping to scrape pesto from the sides, if necessary. Season to taste with more salt and pepper. Reserve half of pesto and refrigerate the rest for later use.                                                                                                                            2                                                                            Adjust oven rack to lower-middle position and preheat oven to 375°F.                                                                                                                             3                                                                            Remove pork tenderloin from the refrigerator one hour before you’re ready to cook. Cut meat almost in half, lengthwise. Open meat like a book and place between two sheets of wax paper. Using a meat mallet or rolling pin, pound to 1/2-inch thickness. Spread with the reserved pesto. Top with cheese. Roll up meat and secure at 1/2-inch intervals with kitchen twine. Season with salt and pepper. Place in roasting pan seam-side up and drizzle with 1/2 tablespoon olive oil. Roast the pork in the oven until it reaches an internal temperature of 145°F, about 35 minutes. Remove pork from oven, tent with foil and allow to rest for 10 minutes.                                                                                                                            4                                                                            While pork is roasting, heat remaining 1 1/2 tablespoons olive oil in a large skillet over medium-high heat until shimmering. Add onion and sauté until slightly softened, about 4 minutes. Add corn, edamame and remaining two cloves of garlic. Sauté for three minutes before adding tomatoes. Cook, stirring often, until tomatoes start to break down, about two minutes more. Remove from heat. Season to taste with salt and pepper. Add basil, remaining 1 1/2 tablespoons cilantro and lime juice. Stir to combine.                                                                                                                            5                                                                            Cut and discard string from pork. Slice meat into medallions and serve with remaining pesto and succotash."
Single-Serving Peanut Butter Banana Microwave Cake,southern,"In a medium-sized bowl, stir together the flax and almond milk.Mash the banana, measure 1/3 cup and stir into the flax mixture.Stir in the truvia and salt, then stir in the oat flour.Add the peanut flour and stir well, making sure there are no clumps (stir ~1 minute).Last, stir in the baking powder, then pour into a 5"" baking dish and microwave for ~5 minutes + 30 seconds.  Let cool slightly and dig in!"
The Best Chicken Fried Steak,southern,"Pound the steaks to about 1/4-inch thickness. Place 2 cups of  flour in a shallow bowl. Stir together the baking powder, baking soda, pepper, and salt in a separate shallow bowl; stir in the buttermilk, egg, Tabasco Sauce, and garlic. Dredge each steak first in the flour, then in the batter, and again in the flour. Pat the flour onto the surface of each steak so they are completely coated with dry flour.                        Heat the shortening in a deep cast-iron skillet to 325 degrees F (165 degrees C). Fry the steaks until evenly golden brown, 3 to 5 minutes per side. Place fried steaks on a plate with paper towels to drain. Drain the fat from the skillet, reserving 1/4 cup of the liquid and as much of the solid remnants as possible.                        Return the skillet to medium-low heat with the reserved oil. Whisk the remaining flour into the oil. Scrape the bottom of the pan with a spatula to release solids into the gravy. Stir in the milk, raise the heat to medium, and bring the gravy to a simmer, cook until thick, 6 to 7 minutes. Season with kosher salt and pepper. Spoon the gravy over the steaks to serve."
Slow-Cooker Greek Stuffed Peppers,greek,"To make in the oven: Preheat oven to 350 degrees. In step 2, use a 5-quart Dutch oven or ovenproof pot with a tight-fitting lid; add 1 cup water. Cover; bake until peppers are tender, about 1 hour. Proceed with step 3."
Greek Style Roast Leg of Lamb with Lemon Roasted Potatoes,greek,"Pierce the leg of lamb with a knife and insert the slivers of garlic all around the surface.Mix the remaining garlic, oregano, rosemary, thyme, the juice and zest of 1 lemon, the oil, mustard, paprika, salt and pepper, rub the mixture over the lamb and let it marinade in the fridge for 1 hour to over night.Place the lamb on a rack in your roasting pan, top it with some of the marinade and place enough water in the pan to cover the bottom without touching the lamb.Cover in foil and roast in a preheated 450F oven on the middle rack until tender enough to easily pull from the bone, about 2-4 hours, adding more water if needed.Reduce the heat to 350F and roast until browned, remove from the oven cover in foil and let rest.Remove the drippings from the pan reserving them.Skim off a few tablespoons of the fat from the drippings and toss the potato wedges in them along with the juice of one lemon, oregano, salt and pepper to taste.Cut the remaining lemons into wedges, add them to the pan along with the potato wedges and roast at 450F until the potatoes are tender on the inside and slightly crispy on the outside, about 30-45 minutes."
Salmon Souvlaki Bowls,greek,"<p>InstructionsIn a medium sized bowl combine the lemon juice, olive oil, balsamic vinegar, smoked paprika, dill, oregano, garlic, salt and pepper. Add the salmon and toss well, making sure the salmon is completely coated in the seasonings. Let sit for 10-15 minutes.Meanwhile, cook the couscous or farro according to package directions.In a bowl, toss together the red peppers, zucchini, 2 tablespoons olive oil, salt + pepper. Toss well to coat the veggies.Heat your grill, grill pan or skillet to medium high heat.Transfer the salmon to the preheated grill and grill for about 3 minutes on each side or until the salmon is cooked to your desired doneness. Remove the salmon from the grill. During the same time, add the bell peppers and zucchini, grill 3-4 minutes per side or until char marks appear. Remove everything from the grill.To assemble, divide the couscous or farro among bowls and drizzle with lemon juice. Add the grilled veggies, salmon, cherry tomatoes, cucumbers, olives and feta cheese. Dollop with Tzatziki and garnish with fresh herbs.</p>"
Chickpea Croquettes with Greek Salad Topping,greek,"1. To make Topping: Toss together cucumber, tomatoes, green onions, lemon juice, and oil in bowl. Gently stir in feta crumbles. Season with salt and pepper, if desired, and set aside.2. To make Croquettes: Whisk together chickpea flour, cumin, chili powder, and salt in bowl. Whisk in ¾ cup hot water. Stir in remaining ingredients, and season with salt and pepper, if desired.3. Coat nonstick skillet with cooking spray; heat over medium heat. Scoop 4¼-cup dollops of chickpea mixture into skillet, and reduce heat to medium-low. Cook 3 to 4 minutes, or until golden. Flip with spatula, and cook 3 to 4 minutes more. Repeat with remaining chickpea mixture. Serve each Croquette topped with ¼ cup Topping."
Grilled Beef Kabobs with Avocado Cucumber Tzatziki,greek,"In a blender, add garlic and blender for 30 seconds.Next add yogurt, avocado, dill, cucumber, lemon juice, and salt & pepper. Blend until creamy and completely combined.Set aside.Prep kabobs, alternate beef and cut vegetables on skewers. Season with olive oil, salt, & pepperHeat grill to medium high heat.Place kabobs on grill and grill 4-5 minutes per side.Remove from grill and let rest for 2-3 minutes.Serve Beef Kabobs with Avocado Cucumber Tzatziki Sauce."
Salmon Souvlaki Bowls,greek,"In a medium sized bowl combine the lemon juice, olive oil, balsamic vinegar, smoked paprika, dill, oregano, garlic, salt and pepper. Add the salmon and toss well, making sure the salmon is completely coated in the seasonings. Let sit for 10-15 minutes.Meanwhile, cook the couscous or farro according to package directions.In a bowl, toss together the red peppers, zucchini, 2 tablespoons olive oil, salt + pepper. Toss well to coat the veggies.Heat your grill, grill pan or skillet to medium high heat.Transfer the salmon to the preheated grill and grill for about 3 minutes on each side or until the salmon is cooked to your desired doneness. Remove the salmon from the grill. During the same time, add the bell peppers and zucchini, grill 3-4 minutes per side or until char marks appear. Remove everything from the grill.To assemble, divide the couscous or farro among bowls and drizzle with lemon juice. Add the grilled veggies, salmon, cherry tomatoes, cucumbers, olives and feta cheese. Dollop with Tzatziki and garnish with fresh herbs."
Greek Pasta Bake,greek,"Directions                                                                                Cook pasta according to package directions; drain. In a large bowl, combine the pasta, chicken, tomato sauce, tomatoes, spinach, olives, onion, green pepper, basil and oregano.                                                                                            Transfer to a 13-in. x 9-in. baking dish coated with cooking spray. Sprinkle with cheeses. Bake, uncovered, at 400° for 25-30 minutes or until heated through and cheese is melted.                                        Yield: 8 servings.                                                                                                                         Originally published as Greek Pasta Bake in  Light & TastyAugust/September 2006, p45                                                                                                                                                                                                        Nutritional Facts                                                                             1-1/2 cups equals 366 calories, 7 g fat (2 g saturated fat), 62 mg cholesterol, 847 mg sodium, 43 g carbohydrate, 6 g fiber, 32 g protein. Diabetic Exchanges: 3 lean meat, 2-1/2 starch, 1 vegetable, 1/2 fat.                                                                                                                                                                    Print                                                                                    Add to Recipe Box                            Email a Friend"
Greek Salmon Souvlaki Gyros with Tzatziki,greek,"InstructionsTo prepare the tzatziki sauce pour any liquid off the surface of the greek yogurt. (I find it is best to use full fat greek yogurt for this, but 2% works ok as well. You want the yogurt to be thick, so if your greek yogurt seems thin strain it through a fine mesh strainer). Mix together the greek yogurt, diced cucumber, garlic, white wine vinegar, dill, oregano, salt and pepper to taste, and lemon juice. Drizzle with olive oil. Refrigerate for at least 30 minutes before serving to allow the flavors to meld.In a medium sized bowl combine the lemon juice, olive oil, balsamic vinegar, smoked paprikia, dill, oregano, garlic, salt and pepper. Add the salmon and toss well, making sure the salmon is completely coated in the seasonings.Heat your grill to medium high heat.Alternate threading the salmon and the red pepper chunks on the skewers. I used two long skewers, but whatever size you have will work fine. Using a pair of tongs, carefully transfer the salmon skewers to the preheated grill and grill for about 3 minutes on each side or until the salmon is cooked to your desired doneness. Remove the salmon skewers from the grill and let rest for about 5 minutes to let the salmon just continue to cook.While the salmon rest make the tapenade, dice the olives and mix in a small bowl with the garlic, pepperoncini and parsley.To assemble the pitas, heat pitas (I just place them directly on the stove for 20 seconds on each side or in the microwave for 20 seconds). Spread a layer of tzatziki down the middle of each pita, top with 4 or 5 salmon and red pepper chunks. Add the tapenade, tomatoes and finish with a generous amount of feta cheese."
Strawberry Banana Oatmeal Greek Yogurt Waffles (gluten free!),greek,"Preheat waffle iron and spray with nonstick cooking spray.Add all ingredients except strawberries to a blender and blend on high until well combined and smooth. Unplug the blender and gently fold in strawberries with a spatula. If you're using a belgian waffle iron, you can pour half of the batter into the waffle iron, and cook until steam stops and waffles are golden brown and slightly crispy on the outside. Recipe makes 2 large belgian waffles. Serving size: 1/2 belgian waffle. Top with peanut butter, greek yogurt, fruit, chia seeds and/or maple syrup."
Norwegian Potato Klub,nordic,"Place bacon in a large skillet over medium-high heat. Remove bacon from the pan, and reserve the grease.                            In a medium bowl, stir together the flour and baking powder. Stir in potatoes to make a sticky dough.                            Bring a large pot of water to a boil, and add 2 teaspoons of salt. Squeeze the potato mixture into 6 or 7 dumplings, or your desired size. Drop carefully into the boiling water. Simmer for 45 to 60 minutes. Remove to a platter with a slotted spoon.                            Serve with bacon grease brushed over the top, and crumbled bacon. These may also be sliced and fried the next day for another great meal.                                                Kitchen-Friendly View"
Swedish Meatballs,nordic,"Heat 1 tablespoon olive oil in a large skillet over medium heat. Add onion, and cook, stirring frequently, until onions have become translucent, about 2-3 minutes; set aside. In a large bowl, combine ground beef, ground pork, Panko, egg yolks, allspice, nutmeg and onion; season with salt and pepper, to taste. Using a wooden spoon or clean hands, stir until well combined. Roll the mixture into 1 1/4-to-1 1/2-inch meatballs, forming about 24 meatballs. Add remaining 1 tablespoon olive oil to the skillet. Add meatballs, in batches, and cook until all sides are browned, about 4-5 minutes. Transfer to a paper towel-lined plate. To make the gravy, melt butter in the skillet. Whisk in flour until lightly browned, about 1 minute. Gradually whisk in beef broth and cook, whisking constantly, until slightly thickened, about 1-2 minutes. Stir in sour cream; season with salt and pepper, to taste. Stir in meatballs and cook, stirring occasionally, until heated through and thickened, about 8-10 minutes. Serve immediately, garnished with parsley, if desired."
Lighter Swedish Meatballs,nordic,"Preheat oven to 350 degrees F. Prepare a large baking sheet lined with aluminum foil and sprayed with nonstick cooking spray.In a large bowl, combine all ingredients and mix well with your hands. Shape into about 30 (1-inch) meatballs. Arrange meatballs on baking sheet. Bake 20 to 25 minutes, or until cooked through. Remove from oven and pat dry with paper towels (this helps the sauce stick better).Meanwhile, melt butter in a large skillet on medium-high heat. Stir in flour, bouillon granules and pepper. Gradually add milk, whisking constantly as you pour. Bring to a boil then reduce heat to a simmer, stirring frequently. Simmer 6-7 minutes, or until sauce has significantly thickened. Add meatballs to skillet, cooking until heated through.Serve on top of warm, cooked pasta, egg noodles or rice.Enjoy!"
